latitude,longitude,time,TEMP,CNDU,PSAL,TUR4,DOXY
degrees_north,degrees_east,UTC,degree_C,mS/cm,1,FNU,umol/L
42.031,3.23671,2026-01-01T00:05:00Z,13.32,42.227,35.894,1.23,313.33
42.031,3.23671,2026-01-01T01:08:00Z,13.29,42.212,35.917,1.19,313.0
42.031,3.23671,2026-01-01T02:11:00Z,13.26,42.178,35.913,1.12,313.05
42.031,3.23671,2026-01-01T03:14:00Z,13.32,42.279,35.95,1.06,312.72
42.031,3.23671,2026-01-01T04:17:00Z,13.01,41.801,35.787,1.13,313.1
42.031,3.23671,2026-01-01T05:20:00Z,13.33,42.437,36.089,0.92,310.49
42.031,3.23671,2026-01-01T06:23:00Z,12.74,41.354,35.611,1.13,313.39
42.031,3.23671,2026-01-01T07:26:00Z,13.14,41.951,35.808,1.04,312.01
42.031,3.23671,2026-01-01T08:29:00Z,13.06,41.934,35.864,1.11,312.51
42.031,3.23671,2026-01-01T09:32:00Z,13.08,41.959,35.873,1.01,312.91
42.031,3.23671,2026-01-01T10:35:00Z,13.21,42.118,35.899,1.05,313.7
42.031,3.23671,2026-01-01T11:38:00Z,13.13,41.918,35.781,0.97,315.89
42.031,3.23671,2026-01-01T12:41:00Z,13.53,42.613,36.065,0.85,313.91
42.031,3.23671,2026-01-01T13:44:00Z,13.44,42.458,36.001,0.84,315.06
42.031,3.23671,2026-01-01T14:47:00Z,13.77,43.323,36.513,0.68,311.88
42.031,3.23671,2026-01-01T15:50:00Z,13.78,43.347,36.521,0.71,312.89
42.031,3.23671,2026-01-01T16:53:00Z,13.38,42.146,35.766,1.06,316.52
42.031,3.23671,2026-01-01T17:56:00Z,13.5,42.734,36.205,0.91,314.79
42.031,3.23671,2026-01-01T18:59:00Z,13.58,43.011,36.396,0.73,313.02
42.031,3.23671,2026-01-01T20:00:00Z,13.59,43.059,36.434,0.71,312.51
42.031,3.23671,2026-01-01T21:00:00Z,13.61,43.204,36.55,0.69,311.2
42.031,3.23671,2026-01-01T22:00:00Z,13.56,43.222,36.611,0.65,310.64
42.031,3.23671,2026-01-01T23:00:00Z,13.61,43.277,36.618,0.6,310.6
42.031,3.23671,2026-01-02T00:00:00Z,13.67,43.437,36.717,0.59,309.77
42.031,3.23671,2026-01-02T00:05:00Z,13.66,43.429,36.72,0.56,309.77
42.031,3.23671,2026-01-02T01:08:00Z,13.59,43.349,36.704,0.48,309.77
42.031,3.23671,2026-01-02T02:11:00Z,13.34,42.832,36.46,0.62,310.8
42.031,3.23671,2026-01-02T03:14:00Z,13.23,42.563,36.304,0.65,311.02
42.031,3.23671,2026-01-02T04:17:00Z,13.14,42.315,36.155,0.67,311.02
42.031,3.23671,2026-01-02T05:20:00Z,13.26,42.518,36.237,0.69,310.39
42.031,3.23671,2026-01-02T06:23:00Z,13.09,41.904,35.805,0.79,311.06
42.031,3.23671,2026-01-02T07:26:00Z,13.06,41.869,35.8,0.81,311.22
42.031,3.23671,2026-01-02T08:29:00Z,13.38,42.605,36.199,0.65,310.24
42.031,3.23671,2026-01-02T09:32:00Z,13.35,42.565,36.192,0.65,310.94
42.031,3.23671,2026-01-02T10:35:00Z,13.3,42.434,36.113,0.71,312.33
42.031,3.23671,2026-01-02T11:38:00Z,13.21,41.889,35.682,0.95,313.39
42.031,3.23671,2026-01-02T12:41:00Z,13.47,42.289,35.812,0.74,313.04
42.031,3.23671,2026-01-02T13:44:00Z,13.57,42.81,36.212,0.67,313.95
42.031,3.23671,2026-01-02T14:47:00Z,13.62,43.062,36.401,0.6,315.19
42.031,3.23671,2026-01-02T15:50:00Z,13.41,42.331,35.915,0.72,315.63
42.031,3.23671,2026-01-02T16:53:00Z,13.28,42.252,35.956,0.63,315.42
42.031,3.23671,2026-01-02T17:56:00Z,13.15,41.978,35.823,0.63,314.72
42.031,3.23671,2026-01-02T18:59:00Z,12.89,40.034,34.207,0.87,315.3
42.031,3.23671,2026-01-02T20:00:00Z,13.1,41.351,35.271,0.67,314.27
42.031,3.23671,2026-01-02T21:00:00Z,13.17,41.996,35.822,0.56,313.77
42.031,3.23671,2026-01-02T22:00:00Z,13.52,43.084,36.523,0.42,312.33
42.031,3.23671,2026-01-02T23:00:00Z,13.55,43.233,36.639,0.41,311.91
42.031,3.23671,2026-01-03T00:00:00Z,13.77,43.66,36.827,0.4,309.97
42.031,3.23671,2026-01-03T00:05:00Z,13.81,43.715,36.845,0.41,309.64
42.031,3.23671,2026-01-03T01:08:00Z,13.44,42.942,36.461,0.39,311.54
42.031,3.23671,2026-01-03T02:11:00Z,13.59,43.166,36.537,0.42,310.17
42.031,3.23671,2026-01-03T03:14:00Z,13.85,43.762,36.847,0.35,308.94
42.031,3.23671,2026-01-03T04:17:00Z,13.59,43.355,36.711,0.35,310.27
42.031,3.23671,2026-01-03T05:20:00Z,13.9,43.869,36.903,0.55,308.08
42.031,3.23671,2026-01-03T06:23:00Z,13.88,43.839,36.892,0.42,305.44
42.031,3.23671,2026-01-03T07:26:00Z,13.86,43.693,36.776,0.33,304.77
42.031,3.23671,2026-01-03T08:29:00Z,13.95,43.862,36.847,0.42,303.69
42.031,3.23671,2026-01-03T09:32:00Z,14.06,44.058,36.928,0.33,302.79
42.031,3.23671,2026-01-03T10:35:00Z,14.11,44.161,36.973,0.28,302.83
42.031,3.23671,2026-01-03T11:38:00Z,14.1,44.133,36.953,0.33,303.2
42.031,3.23671,2026-01-03T12:41:00Z,13.87,43.666,36.742,0.39,306.36
42.031,3.23671,2026-01-03T13:44:00Z,13.94,43.816,36.812,0.39,305.54
42.031,3.23671,2026-01-03T14:47:00Z,14.04,44.016,36.902,0.38,304.36
42.031,3.23671,2026-01-03T15:50:00Z,14.04,44.038,36.923,0.31,304.83
42.031,3.23671,2026-01-03T16:53:00Z,14.24,44.529,37.197,0.37,301.5
42.031,3.23671,2026-01-03T17:56:00Z,14.21,44.45,37.148,0.4,302.17
42.031,3.23671,2026-01-03T18:59:00Z,14.16,44.332,37.089,0.34,302.75
42.031,3.23671,2026-01-03T20:00:00Z,14.1,44.248,37.063,0.34,303.13
42.031,3.23671,2026-01-03T21:00:00Z,14.09,44.227,37.056,0.31,303.18
42.031,3.23671,2026-01-03T22:00:00Z,14.09,44.212,37.042,0.36,303.43
42.031,3.23671,2026-01-03T23:00:00Z,14.1,44.249,37.064,0.63,303.62
42.031,3.23671,2026-01-04T00:00:00Z,14.16,44.364,37.119,0.39,304.29
42.031,3.23671,2026-01-04T00:05:00Z,14.15,44.366,37.124,0.59,303.95
42.031,3.23671,2026-01-04T01:08:00Z,14.16,44.385,37.131,0.28,302.36
42.031,3.23671,2026-01-04T02:11:00Z,14.13,44.339,37.117,0.36,303.24
42.031,3.23671,2026-01-04T03:14:00Z,14.07,44.241,37.087,0.31,303.93
42.031,3.23671,2026-01-04T04:17:00Z,14.04,44.187,37.066,0.43,303.39
42.031,3.23671,2026-01-04T05:20:00Z,14.06,44.211,37.069,0.28,304.83
42.031,3.23671,2026-01-04T06:23:00Z,14.07,44.227,37.075,0.3,303.61
42.031,3.23671,2026-01-04T07:26:00Z,14.06,44.23,37.086,0.28,302.67
42.031,3.23671,2026-01-04T08:29:00Z,14.06,44.233,37.093,0.54,302.98
42.031,3.23671,2026-01-04T09:32:00Z,14.04,44.221,37.096,0.42,303.6
42.031,3.23671,2026-01-04T10:35:00Z,14.03,44.218,37.1,0.28,302.87
42.031,3.23671,2026-01-04T11:38:00Z,14.03,44.221,37.103,0.47,303.63
42.031,3.23671,2026-01-04T12:41:00Z,14.05,44.239,37.106,0.78,303.52
